forecast_generated_date,region_id,group_id,mae,average_error,mean_actual_volume,observations,mae_pct_of_mean
20260829,1,1,68.9511644575331,-50.758250342475044,321.4702380952381,2016,21.448693000658363
20260829,1,2,89.01310714085896,-28.996856394268217,207.60714285714286,2016,42.87574402105713
20260829,1,3,42.37144763885983,-19.398965245201477,281.32093253968253,2016,15.06160499908161
20260829,1,4,40.30271531665136,-11.239314442589171,190.1031746031746,2016,21.200443075598344
20260829,2,5,56.11928092865717,-41.92823922444904,247.73164682539684,2016,22.65325470032114
20260829,2,6,159.90358650116693,-150.81525393137855,314.35218253968253,2016,50.867655891328624
20260829,3,7,105.96295005556136,-93.8381802846515,295.03521825396825,2016,35.915356370895275
20260829,3,8,136.8969018951295,-120.08574023322454,285.44742063492066,2016,47.9587104310243
20260829,4,9,146.54839604241508,-131.12850874189346,323.8467261904762,2016,45.25239386123052
20260829,5,10,212.15446931596787,-194.83706738456848,568.0401785714286,2016,37.34849704637405
20260829,6,11,48.2993485435607,-33.00026790679447,233.5218253968254,2016,20.68301258843162
20260829,7,12,56.28468505163041,-15.686604022979735,476.0262896825397,2016,11.82386062945525
20260905,1,1,38.75830748724559,-16.159691901434037,320.49107142857144,1008,12.093412560444367
20260905,1,2,86.60944676777673,-29.67711147429451,206.04761904761904,1008,42.03370423210796
20260905,1,3,34.02261882358127,-3.4439365447513675,281.2361111111111,1008,12.097528546090432
20260905,1,4,39.6853576236301,-3.695629150148425,194.0515873015873,1008,20.450931721549225
20260905,2,5,54.075144586108976,-37.631851060049875,244.74603174603175,1008,22.09439074469723
20260905,2,6,146.50190548669724,-134.92198315877764,320.08234126984127,1008,45.77006807232477
20260905,3,7,115.83556977529375,-98.12897990998768,296.92857142857144,1008,39.01125756204264
20260905,3,8,134.5668036142985,-110.90078529479011,290.1279761904762,1008,46.38187788066052
20260905,4,9,136.99311165582566,-115.45093793717642,330.53472222222223,1008,41.44590641939386
20260905,5,10,96.29842051248701,-56.881303953746006,567.936507936508,1008,16.95584262796725
20260905,6,11,44.98332025134374,-32.38717522696843,235.7579365079365,1008,19.080299445117273
20260905,7,12,45.922835652790376,-3.1466089733063214,475.218253968254,1008,9.663525184337333
20260829,1,1,68.9511644575331,-50.758250342475044,321.4702380952381,2016,21.448693000658363
20260829,1,2,89.01310714085896,-28.996856394268217,207.60714285714286,2016,42.87574402105713
20260829,1,3,42.37144763885983,-19.398965245201477,281.32093253968253,2016,15.06160499908161
20260829,1,4,40.30271531665136,-11.239314442589171,190.1031746031746,2016,21.200443075598344
20260829,2,5,56.11928092865717,-41.92823922444904,247.73164682539684,2016,22.65325470032114
20260829,2,6,159.90358650116693,-150.81525393137855,314.35218253968253,2016,50.867655891328624
20260829,3,7,105.96295005556136,-93.8381802846515,295.03521825396825,2016,35.915356370895275
20260829,3,8,136.8969018951295,-120.08574023322454,285.44742063492066,2016,47.9587104310243
20260829,4,9,146.54839604241508,-131.12850874189346,323.8467261904762,2016,45.25239386123052
20260829,5,10,212.15446931596787,-194.83706738456848,568.0401785714286,2016,37.34849704637405
20260829,6,11,48.2993485435607,-33.00026790679447,233.5218253968254,2016,20.68301258843162
20260829,7,12,56.28468505163041,-15.686604022979735,476.0262896825397,2016,11.82386062945525
20260905,1,1,38.75830748724559,-16.159691901434037,320.49107142857144,1008,12.093412560444367
20260905,1,2,86.60944676777673,-29.67711147429451,206.04761904761904,1008,42.03370423210796
20260905,1,3,34.02261882358127,-3.443936544751367,281.2361111111111,1008,12.097528546090432
20260905,1,4,39.6853576236301,-3.695629150148425,194.0515873015873,1008,20.450931721549225
20260905,2,5,54.075144586108976,-37.631851060049875,244.74603174603175,1008,22.09439074469723
20260905,2,6,146.50190548669724,-134.92198315877764,320.08234126984127,1008,45.77006807232477
20260905,3,7,115.83556977529375,-98.12897990998768,296.92857142857144,1008,39.01125756204264
20260905,3,8,134.5668036142985,-110.90078529479011,290.1279761904762,1008,46.38187788066052
20260905,4,9,136.99311165582566,-115.45093793717642,330.53472222222223,1008,41.44590641939386
20260905,5,10,96.29842051248701,-56.881303953746006,567.936507936508,1008,16.95584262796725
20260905,6,11,44.98332025134374,-32.38717522696843,235.7579365079365,1008,19.080299445117273
20260905,7,12,45.922835652790376,-3.1466089733063214,475.218253968254,1008,9.663525184337333
