forecast_generated_date,overall_mae,average_error,mean_actual_volume,observations,actual_through,mae_pct_of_mean,best_group_id,best_group_mae,worst_group_id,worst_group_mae
20260829,96.90067107399935,-74.30943734620614,312.0419146825397,24192,2026-09-12 23:50:00,31.053735576703733,4,40.30271531665136,10,212.15446931596787
20260905,81.18773685308992,-53.5354995487859,313.59656084656086,12096,2026-09-12 23:50:00,25.88923061972422,3,34.02261882358127,6,146.50190548669724
20260829,96.90067107399935,-74.30943734620614,312.0419146825397,24192,2026-09-12 23:50:00,31.053735576703733,4,40.30271531665136,10,212.15446931596787
20260905,81.18773685308992,-53.5354995487859,313.59656084656086,12096,2026-09-12 23:50:00,25.88923061972422,3,34.02261882358127,6,146.50190548669724
